Organization Name,Description,Organization Name URL,Mega theme,Focus Area,Headquarters Location,Estimated Revenue Range,Founded Year,Industries,Number of Employees,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Top 5 Investors,IPqwery - Patents Granted,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity
Trulioo,Trulioo is an online verification company that operates a digital identity network deploying security and privacy standards.,https://www.crunchbase.com/organization/trulioo,#REF!,,"Vancouver, British Columbia, Canada",,2011,"Big Data, Compliance, Finance, Identity Management, Privacy, Security",501-1000,Late Stage Venture,07/06/2021,394000000,Series D,474765412,"Citi Ventures, UST, TCV, Mouro Capital, BDC Capital",4,1,1,1,1,Mature
Monzo,Monzo is a digital-only bank platform and marketplace that allows customers to access a range of products and services.,https://www.crunchbase.com/organization/monzo,#REF!,,"London, England, United Kingdom",$10M to $50M,2015,"Banking, Financial Services, FinTech, Marketplace",1001-5000,Late Stage Venture,08/02/2021,68728238,Series G,648073045,"General Catalyst, Crowdcube, Stripe, Thrive Capital, Orange",0,0.5,1,1,0.85,Mature
Affirm,Affirm is a financial technology services company that offers installment loans to consumers at the point of sale.,https://www.crunchbase.com/organization/affirm,#REF!,,"San Francisco, California, United States",$500M to $1B,2012,"Financial Services, FinTech, Lending, Payments",1001-5000,IPO,13/01/2021,1386210000,Post-IPO Equity,2906210000,"Khosla Ventures, GGV Capital, Craft Ventures, Spark Capital, Fidelity Management and Research Company",2,0.5,0.66,1,0.68,Mature
SmartAsset,SmartAsset is the web’s go-to resource for financial advice connecting consumers with financial advisors.,https://www.crunchbase.com/organization/smartasset,#REF!,,"New York, New York, United States",$50M to $100M,2012,"Finance, Financial Services, FinTech, Personal Finance, Wealth Management",101-250,Late Stage Venture,24/06/2021,110000000,Series D,161431095,"FJ Labs, SV Angel, Citi Ventures, Y Combinator, Contour Venture Partners",0,0.5,1,1,0.85,Mature
IDnow,IDnow is a technology startup that provides advanced machine-learning technology for its Identity Verification-as-a-Service platform.,https://www.crunchbase.com/organization/idnow,#REF!,,"Munich, Bayern, Germany",$10M to $50M,2014,"Cloud Data Services, Identity Management, Information Technology, Internet, Legal, Machine Learning, Real Time, Security",101-250,Late Stage Venture,08/12/2020,18163544,Debt Financing,58163545,"European Investment Bank, Plug and Play Tech Center, Seventure Partners, 10x Group, Corsair Capital",1,0.5,0.66,1,0.68,Mature
Greenlight,Greenlight is a fintech company that provides a debit card designed to help parents monitor their child's spending habits.,https://www.crunchbase.com/organization/greenlight-4,#REF!,,"Atlanta, Georgia, United States",,2014,"Debit Cards, Financial Services, FinTech, Payments",101-250,Late Stage Venture,27/04/2021,260000000,Series D,556500000,"Andreessen Horowitz, New Enterprise Associates, Goodwater Capital, Relay Ventures, Wells Fargo",1,0.5,1,1,0.85,Mature
TrueLayer,"TrueLayer is a fintech platform utilized to build financial apps that connect to bank data, verify accounts, and access transactions.",https://www.crunchbase.com/organization/truelayer,#REF!,,"London, England, United Kingdom",$1M to $10M,2016,"Banking, Developer APIs, Developer Tools, Financial Services, FinTech",101-250,Late Stage Venture,08/04/2021,70000000,Series D,141800000,"Tencent, Temasek Holdings, Addition, Anthemis Group, Taavet Hinrikus",0,0.5,1,1,0.85,Mature
Primer,Primer develops a text analytics solution designed to automate the analysis of textual data.,https://www.crunchbase.com/organization/primer-7cbe,#REF!,,"San Francisco, California, United States",,2015,"Analytics, Artificial Intelligence, Big Data, Content, Data Visualization, Machine Learning, Natural Language Processing",101-250,Late Stage Venture,22/06/2021,110000000,Series C,168049995,"Lux Capital, Addition, Crosslink Capital, DCVC, Section 32",1,0.5,1,1,0.85,Mature
Forge,"Forge is a trading marketplace for private equity, giving private and institutional investors access to top pre-IPO companies.",https://www.crunchbase.com/organization/equidate,#REF!,,"San Francisco, California, United States",,2014,"Finance, Financial Services, FinTech, Trading Platform",101-250,,04/05/2021,150000000,Venture - Series Unknown,238500000,"Temasek Holdings, Peter Thiel, Cyan Banister, Draper Associates, Tim Draper",0,0.5,0.66,1,0.68,Mature
Unqork,"Unqork is a no-code enterprise application platform that helps companies build, deploy, and manage complex applications.",https://www.crunchbase.com/organization/unqork,#REF!,,"New York, New York, United States",$10M to $50M,2017,"Enterprise, Enterprise Applications, Financial Services, Insurance, Productivity Tools, SaaS, Software",251-500,,02/12/2020,,Venture - Series Unknown,416249951,"Goldman Sachs, BlackRock, Broadridge, HOF Capital, Eldridge",0,0.5,0.66,1,0.68,Mature
Remitly,Remitly is a mobile payments service that enables users to make person-to-person international money transfers.,https://www.crunchbase.com/organization/remitly,#REF!,,"Seattle, Washington, United States",$100M to $500M,2011,"Financial Services, FinTech, Payments",501-1000,,11/05/2021,,Corporate Round,505000000,"Goldman Sachs, Techstars, QED Investors, Visa, International Finance Corporation",0,1,0.66,1,0.83,Mature
Brex,Brex is a fintech company that offers credit cards and cash management solutions for their customers to save and spend money.,https://www.crunchbase.com/organization/brex,#REF!,,"San Francisco, California, United States",,2017,"Banking, Credit Cards, Financial Services, FinTech",501-1000,Late Stage Venture,26/04/2021,425000000,Series D,1157120000,"Ribbit Capital, Kleiner Perkins, GIC, Greenoaks Capital, Tiger Global Management",1,0.5,1,1,0.85,Mature
Rapyd,Rapyd is a payments platform that inserts fintech services into any app and simplifies the complex offering of local payment methods.,https://www.crunchbase.com/organization/rapyd,#REF!,,"London, England, United Kingdom",$10M to $50M,2016,"Financial Services, FinTech, Mobile Payments, Payments",101-250,Late Stage Venture,30/03/2021,,Series E,470000000,"General Catalyst, Stripe, Spark Capital, FJ Labs, Entrée Capital",,0.5,1,1,0.85,Mature
Guideline,Guideline is a retirement plan platform that offers the all-inclusive 401(k) and full-stack solution for growing businesses.,https://www.crunchbase.com/organization/guideline-technologies-inc,#REF!,,"San Mateo, California, United States",,2015,"Finance, FinTech, Insurance, Retirement, Small and Medium Businesses",101-250,Late Stage Venture,16/06/2021,200000000,Series E,339000000,"General Atlantic, New Enterprise Associates, Felicis Ventures, 500 Startups, Gaingels",0,0.5,1,1,0.85,Mature
Cross River Bank,Cross River is a financial institution that offers banking services and loan products to consumers and businesses.,https://www.crunchbase.com/organization/cross-river-bank,#REF!,,"Fort Lee, New Jersey, United States",$50M to $100M,2008,"Banking, Commercial Lending, Finance, Financial Services, Lending, Payments",251-500,Late Stage Venture,11/05/2020,106000000,Debt Financing,288000000,"Battery Ventures, Andreessen Horowitz, Ribbit Capital, LionTree, Kohlberg Kravis Roberts",,1,0.66,1,0.83,Mature
Tipalti,Tipalti is a global payables automation platform that provides a cloud solution to scale and automate global payables operations.,https://www.crunchbase.com/organization/tipalti,#REF!,,"San Mateo, California, United States",$10M to $50M,2010,"Accounting, Financial Services, FinTech, Payments, Software",251-500,Late Stage Venture,01/03/2021,,Secondary Market,295000000,"Greenoaks Capital, Greenspring Associates, G Squared, Zeev Ventures, Group 11",0,1,0.66,1,0.83,Mature
Deserve,Deserve offers fair credit products for young people and a cloud-based credit card platform for businesses.,https://www.crunchbase.com/organization/deserve,#REF!,,"Palo Alto, California, United States",$1M to $10M,2013,"Big Data, Credit Cards, Financial Services, FinTech, Internet, Mobile Payments",101-250,Late Stage Venture,24/06/2021,50000000,Series D,287100000,"Alumni Ventures Group, Mastercard, Goldman Sachs Asset Management, Credit Suisse, Accel",0,0.5,1,1,0.85,Mature
Circle,"Circle is a global internet finance company, built on blockchain technology and powered by crypto assets.",https://www.crunchbase.com/organization/circle-2,#REF!,,"Boston, Massachusetts, United States",$10M to $50M,2013,"Banking, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Payments, Personal Finance",251-500,IPO,29/05/2021,440000000,Private Equity,711000000,"Alumni Ventures Group, General Catalyst, Blockchain Capital, CICC, Digital Currency Group",,0.5,0.66,1,0.68,Mature
Auth0,"Auth0 is an identity management platform for web, mobile, IoT, and internal applications.",https://www.crunchbase.com/organization/auth0,#REF!,,"Bellevue, Washington, United States",$100M to $500M,2013,"Developer APIs, Enterprise Software, Identity Management, Information Technology",501-1000,M&A,14/07/2020,120000000,Series F,332275000,"Salesforce Ventures, Sapphire Ventures, Bessemer Venture Partners, Trinity Ventures, Silicon Valley Bank",4,0.5,1,1,0.85,Mature
Doma,Doma is an insurtech platform that uses machine intelligence to remove friction from residential real estate transactions.,https://www.crunchbase.com/organization/states-title,#REF!,,"San Francisco, California, United States",$100M to $500M,2016,"FinTech, Insurance, InsurTech, Real Estate",251-500,Late Stage Venture,17/02/2021,150000000,Debt Financing,379615152,"Foundation Capital, Greenspring Associates, Fifth Wall, Lennar Corporation, Horizons Ventures",3,0.5,0.66,1,0.68,Mature
Onfido,Onfido is a technology company designed to automate the process of identity verification.,https://www.crunchbase.com/organization/onfido,#REF!,,"London, England, United Kingdom",$10M to $50M,2012,"FinTech, Identity Management, Information Technology, Software",251-500,Late Stage Venture,18/08/2020,6626422,Grant,188762927,"Eurazeo, Augmentum Fintech, Salesforce Ventures, Taavet Hinrikus, Acequia Capital (AceCap)",4,0.5,0.66,1,0.68,Mature
Robinhood,"Robinhood is a stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission.",https://www.crunchbase.com/organization/robinhood,#REF!,,"Menlo Park, California, United States",$1B to $10B,2013,"Cryptocurrency, Financial Services, FinTech, Stock Exchanges, Trading Platform",1001-5000,Late Stage Venture,01/02/2021,2400000000,Convertible Note,5574325000,"Thrive Capital, Sequoia Capital, LocalGlobe, Andreessen Horowitz, Kleiner Perkins",10,0.5,0.66,1,0.68,Mature
Uber,"Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.",https://www.crunchbase.com/organization/uber,#REF!,,"San Francisco, California, United States",$10B+,2009,"Logistics, Mobile Apps, Public Transportation, Ride Sharing, Transportation",10001+,IPO,14/09/2020,500000000,Post-IPO Debt,25212450000,"Citi, Tencent, Goldman Sachs, BlackRock, General Atlantic",796,1,0.66,1,0.83,Mature
Deposit Solutions,Deposit Solutions is provider of the open banking platform for deposits connecting banks and depositors.,https://www.crunchbase.com/organization/deposit-solutions,#REF!,,"Hamburg, Hamburg, Germany",$1M to $10M,2011,"Banking, Financial Services, FinTech",101-250,M&A,19/09/2019,55226345,Venture - Series Unknown,198871071,"Founders Fund, Valar Ventures, Deutsche Bank, Greycroft, Headline",0,1,0.66,1,0.83,Mature
Mambu,Mambu is a software-as-a-service banking engine provider that powers lending and deposit services.,https://www.crunchbase.com/organization/mambu,#REF!,,"Berlin, Berlin, Germany",$1B to $10B,2011,"Banking, Financial Services, FinTech, Lending",251-500,Late Stage Venture,07/01/2021,134960714,Series D,182920969,"Tiger Global Management, TCV, Bessemer Venture Partners, Point Nine, Arena Holdings",0,1,1,1,1,Mature
Nubank,"Nubank is a digital bank that offers digital credit cards, transfers, and payments.",https://www.crunchbase.com/organization/nubank,#REF!,,"São Paulo, Sao Paulo, Brazil",$100M to $500M,2013,"Banking, Credit Cards, Financial Services, FinTech, Payments",1001-5000,Late Stage Venture,08/06/2021,750000000,Series G,2257602393,"Tencent, Goldman Sachs, Thrive Capital, Sequoia Capital, QED Investors",0,0.5,1,1,0.85,Mature
Solarisbank,Solarisbank is a Banking-as-a-Service platform that enables other companies to offer their own financial services via APIs.,https://www.crunchbase.com/organization/solarisbank-ag,#REF!,,"Berlin, Berlin, Germany",$10M to $50M,2016,"Banking, Financial Services, FinTech, Information Technology",251-500,,24/06/2021,119282207,Venture - Series Unknown,297905863,"SoftBank, Visa, finleap, HV Capital, Banco Bilbao Vizcaya Argentaria",0,0.5,0.66,1,0.68,Mature
Pennylane,Pennylane is a developer of a full-stack financial management platform used to deal with financial data.,https://www.crunchbase.com/organization/pennylane,#REF!,,"Paris, Ile-de-France, France",Less than $1M,2020,"Finance, Financial Services, FinTech, Information Technology",51-100,,07/06/2021,18286327,Venture - Series Unknown,41055715,"Sequoia Capital, Global Founders Capital, Kima Ventures, Partech",0,0,0.66,1,0.53,Emerging
Paxos,Paxos is a regulated financial institution building infrastructure to enable movement between physical and digital assets.,https://www.crunchbase.com/organization/paxos,#REF!,,"New York, New York, United States",,2012,"Blockchain, Cryptocurrency, Financial Services, FinTech",101-250,Late Stage Venture,29/04/2021,300000000,Series D,535250000,"Blockchain Capital, Digital Currency Group, Canaan Partners, RRE Ventures, PayPal Ventures",,0.5,1,1,0.85,Mature
Smart Pension,Smart Pension is a workplace pension tailored specifically for UK businesses.,https://www.crunchbase.com/organization/smart-pension,#REF!,,"London, England, United Kingdom",,2014,"Financial Services, FinTech, Information Technology",251-500,Late Stage Venture,27/06/2021,152859939,Series D,253439078,"Chrysalis Investments, Chris Adelsbach, Graze, Link Group, LOVEFiLM",0,0.5,1,1,0.85,Mature
Cashfree,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,https://www.crunchbase.com/organization/cashfree,#REF!,,"Bengaluru, Karnataka, India",$1M to $10M,2015,"Finance, Financial Services, FinTech, Mobile Payments, Payments",251-500,,07/06/2021,,Undisclosed,40920000,"Y Combinator, Apis Partners, Smilegate Investment, State Bank of India, George Osborne",,0.5,0,1,0.35,Nascent
Socure,Socure is a predictive analytics platform for digital identity verification of consumers.,https://www.crunchbase.com/organization/socure,#REF!,,"New York, New York, United States",$50M to $100M,2012,"Cyber Security, Identity Management, Machine Learning, Predictive Analytics, Security",101-250,,03/06/2021,,Venture - Series Unknown,196900000,"Citi Ventures, AltaIR Capital, Accel, Founder Collective, Scale Venture Partners",11,0.5,0.66,1,0.68,Mature
Plaid,Plaid provides companies with the tools and access needed for the development of a digitally-enabled financial system.,https://www.crunchbase.com/organization/plaid,#REF!,,"San Francisco, California, United States",$100M to $500M,2013,"Financial Services, FinTech, Software",501-1000,Late Stage Venture,07/04/2021,425000000,Series D,734300000,"Silver Lake, Goldman Sachs, Index Ventures, Spark Capital, Norwest Venture Partners",16,0.5,1,1,0.85,Mature
H2O.ai,H2O.ai is an open source machine learning platform that makes it easy to build smart applications.,https://www.crunchbase.com/organization/h2o-2,#REF!,,"Mountain View, California, United States",$1M to $10M,2012,"Analytics, Artificial Intelligence, Big Data, Cloud Computing, Machine Learning, Software",,Late Stage Venture,20/08/2019,72500000,Series D,151099999,"Goldman Sachs, Nexus Venture Partners, Wells Fargo, Crane Venture Partners, Celesta Capital",5,0.5,1,0,0.65,Mature
MPOWER Financing,MPOWER Financing is a social benefit corporation financing domestic and international students.,https://www.crunchbase.com/organization/mpower-financing,#REF!,,"Washington, District of Columbia, United States",$10M to $50M,2014,"Finance, Financial Services, Higher Education",51-100,,13/07/2021,100000000,Venture - Series Unknown,375000000,"Drakes Landing Associates, Pennington Alternative Income Management, Goldman Sachs, Village Capital, Dreamit Ventures",0,0.5,0.66,1,0.68,Mature
Pindrop,Pindrop uses AI-based IVR Authentication and Anti-Fraud Solutions to increase efficiency in call centers and stop fraudulent transactions.,https://www.crunchbase.com/organization/pindrop-security,#REF!,,"Atlanta, Georgia, United States",$50M to $100M,2011,"Artificial Intelligence, Fraud Detection, Security, Software",101-250,,17/03/2021,6800000,Undisclosed,219599996,"Goldman Sachs, Andreessen Horowitz, Felicis Ventures, Citi Ventures, GV",63,1,0,1,0.5,Emerging
Darktrace,"Darktrace is an AI company that uses cybersecurity solutions to identify, prevent, and eliminate insider threats.",https://www.crunchbase.com/organization/darktrace,#REF!,,"Cambridge, Cambridgeshire, United Kingdom",$100M to $500M,2013,"Artificial Intelligence, Cyber Security, Information Technology, Machine Learning, Network Security",1001-5000,IPO,26/09/2018,50000000,Series E,230500000,"SoftBank, Insight Partners, Balderton Capital, Summit Partners, Hoxton Ventures",6,0.5,1,1,0.85,Mature
